Date,MMWR_week,State Code,State ,State Capital,latitude,longtitude,Administered_Cumulative,Administered_Janssen_Cumulative,Administered_Moderna_Cumulative,Administered_Pfizer_Cumulative,Administered_Unk_Manuf_Cumulative,Admin_Per_100K_Cumulative,Administered_Daily,Administered_Janssen_Daily,Administered_Moderna_Daily,Administered_Pfizer_Daily,Administered_Unk_Manuf_Daily,Admin_Per_100K_Daily
12/31/2021,52,AK,Alaska,Juneau,58.30160,-134.42021,1026473,41043,399412,585162,856,140316,1778,44,749,981,4,243
12/31/2021,52,AL,Alabama,Montgomery,32.37772,-86.30057,5639733,163740,2474445,3001168,380,115022,15499,207,6159,9131,2,316
12/31/2021,52,AR,Arkansas,Little Rock,34.74661,-92.28899,3800300,116704,1635284,2044632,3680,125929,224,6,136,82,0,7
12/31/2021,52,AZ,Arizona,Phoenix,33.44814,-112.09696,10525237,343814,4196212,5964280,20931,144603,33886,662,13248,19900,76,466
12/31/2021,52,CA,California,Sacramento,38.57667,-121.49363,66007187,2201822,25021479,38767892,15994,167055,418154,6514,156209,255425,6,1058
12/31/2021,52,CO,Colorado,Denver,39.73923,-104.98486,9546052,323707,3744839,5469686,7820,165766,28775,357,9825,18544,49,499
12/31/2021,52,CT,Connecticut,Hartford,41.76405,-72.68220,6661686,236511,2540437,3883532,1206,186849,23458,352,10602,12503,1,658
12/31/2021,52,DC,"Washington, DC","Washington, DC",38.90720,-77.03690,1292154,34416,472440,784793,505,183090,5652,81,1878,3687,6,801
12/31/2021,52,DE,Delaware,Dover,39.15731,-75.51972,1587750,58370,616465,911073,1842,163053,5257,98,1957,3190,12,540
12/31/2021,52,FL,Florida,Tallahassee,30.43812,-84.28130,33736822,1396589,12600014,19620418,119801,157078,92229,1581,31923,58478,247,429
12/31/2021,52,GA,Georgia,Atlanta,33.74903,-84.38823,13372602,320328,5294672,7723948,33654,125950,40890,511,14314,26004,61,386
12/31/2021,52,HI,Hawaii,Honolulu,21.30744,-157.85738,2245091,58292,729056,1363679,94064,158566,396,29,156,211,0,28
12/31/2021,52,IA,Iowa,Des Moines,41.59109,-93.60373,4636337,170660,1861542,2603696,439,146949,12252,207,4455,7588,2,389
12/31/2021,52,ID,Idaho,Boise,43.61778,-116.19972,2026458,79788,835131,1108586,2953,113396,4437,125,2026,2280,6,248
12/31/2021,52,IL,Illinois,Springfield,39.79836,-89.65496,19838586,646994,7180172,11985093,26327,156557,95704,1768,32305,61500,131,756
12/31/2021,52,IN,Indiana,Indianapolis,39.76862,-86.16264,8541494,292162,3127946,5093905,27481,126875,29514,429,10570,18482,33,439
12/31/2021,52,KS,Kansas,Topeka,39.04819,-95.67796,4086291,128343,1576986,2377595,3367,140263,12525,163,4184,8165,13,430
12/31/2021,52,KY,Kentucky,Frankfort,38.18672,-84.87537,5904238,224033,2448385,3229710,2110,132155,16148,310,6602,9229,7,362
12/31/2021,52,LA,Louisiana,Baton Rouge,30.45707,-91.18739,5651941,186083,2332853,3130141,2864,121579,18463,283,7374,10795,11,398
12/31/2021,52,MA,Massachusetts,Boston,42.35816,-71.06370,13029285,386142,5133546,7509172,425,189036,47368,398,20859,26111,0,688
12/31/2021,52,MD,Maryland,Annapolis,38.97876,-76.49094,10468179,346732,3855454,6251441,14552,173151,33838,407,12100,21300,31,559
12/31/2021,52,ME,Maine,Augusta,44.30717,-69.78169,2517173,138770,1030570,1345259,2574,187260,9055,155,4357,4537,6,674
12/31/2021,52,MI,Michigan,Lansing,42.73364,-84.55533,14017702,442600,5519362,8053748,1992,140361,38226,580,13358,24281,7,382
12/31/2021,52,MN,Minnesota,St. Paul,44.95510,-93.10221,9163154,344806,3376971,5438328,3049,162478,27278,297,8495,18465,21,484
12/31/2021,52,MO,Missouri,Jefferson City,38.57920,-92.17294,8110555,239484,2954898,4913865,2308,132149,22319,223,8206,13890,0,364
12/31/2021,52,MS,Mississippi,Jackson,32.30385,-90.18211,3388292,84885,1384112,1917120,2175,113848,245,1,145,99,0,8
12/31/2021,52,MT,Montana,Helena,46.58571,-112.01842,1444277,57678,613139,771689,1771,135133,219,1,104,114,0,20
12/31/2021,52,NC,North Carolina,Raleigh,35.78043,-78.63910,14973981,490317,5612605,8870152,907,142771,63956,1472,23822,38662,0,609
12/31/2021,52,ND,North Dakota,Bismarck,46.82085,-100.78332,1016026,38372,383984,593355,315,133326,2736,52,859,1825,0,359
12/31/2021,52,NE,Nebraska,Lincoln,40.80808,-96.69965,2857010,89103,1043973,1718345,5589,147694,141,0,27,114,0,7
12/31/2021,52,NH,New Hampshire,Concord,43.20690,-71.53799,2405480,109043,905418,1390944,75,176911,18085,434,6973,10678,0,1330
12/31/2021,52,NJ,New Jersey,Trenton,40.22060,-74.76991,14997030,531340,5757742,8706940,1008,168844,50970,905,19084,30965,16,574
12/31/2021,52,NM,New Mexico,Santa Fe,35.68224,-105.93973,3453488,111544,1419620,1915078,7246,164701,11955,230,4420,7265,40,571
12/31/2021,52,NV,Nevada,Carson City,39.16391,-119.76612,4328364,176930,1513844,2637081,509,140524,13953,236,4318,9399,0,453
12/31/2021,52,NY,New York,Albany,42.65284,-73.75787,34401675,1346371,12616237,20423367,15700,176840,145161,2312,50072,92678,99,746
12/31/2021,52,OH,Ohio,Columbus,39.96135,-82.99907,15986492,593637,6143578,9230483,18794,136764,60091,1174,22749,36132,36,514
12/31/2021,52,OK,Oklahoma,Oklahoma City,35.49221,-97.50334,5323906,143865,2167002,3011890,1149,134545,15906,258,6363,9274,11,402
12/31/2021,52,OR,Oregon,Salem,44.93846,-123.03040,6852504,261026,2572988,4007183,11307,162469,20552,516,8540,11385,111,488
12/31/2021,52,PA,Pennsylvania,Harrisburg,40.26438,-76.88360,20123432,689674,7863496,11568915,1347,157190,2486,111,1345,1030,0,20
12/31/2021,52,RI,Rhode Island,Providence,41.83091,-71.41496,1958192,62374,750783,1143678,1357,184847,9198,86,3651,5457,4,869
12/31/2021,52,SC,South Carolina,Columbia,34.00034,-81.03321,6731650,217298,2647206,3865098,2048,130744,18308,331,7578,10393,6,355
12/31/2021,52,SD,South Dakota,Pierre,44.36703,-100.34641,1264731,38677,501154,724768,132,142963,3615,95,1291,2229,0,409
12/31/2021,52,TN,Tennessee,Nashville,36.16581,-86.78424,8945296,248262,3444960,5206594,45480,130986,22497,339,8657,13325,176,329
12/31/2021,52,TX,Texas,Austin,30.27467,-97.74035,40613411,1446131,15233109,23930671,3500,140066,1338,61,519,756,2,4
12/31/2021,52,UT,Utah,Salt Lake City,40.77748,-111.88824,4522293,170707,1613497,2737793,296,141059,116,9,87,20,0,4
12/31/2021,52,VA,Virginia,Richmond,37.53886,-77.43364,14499285,473867,5219507,8798012,7899,169870,49806,729,16719,32321,37,584
12/31/2021,52,VT,Vermont,Montpelier,44.26244,-72.58054,1253340,51227,494208,707025,880,200859,3844,53,1376,2415,0,616
12/31/2021,52,WA,Washington,Olympia,47.03581,-122.90501,12619972,460337,4771017,7379189,9429,165728,39757,435,15959,23336,27,523
12/31/2021,52,WI,Wisconsin,Madison,43.07468,-89.38445,9144132,322444,3545400,5274475,1813,157050,29589,432,10997,18137,23,508
12/31/2021,52,WV,West Virginia,Charleston,38.33625,-81.61233,2496290,63932,1082666,1348072,1620,139290,5782,94,2339,3346,3,322
12/31/2021,52,WY,Wyoming,Cheyenne,41.14026,-104.82024,686161,27939,303958,353654,610,118557,1489,24,642,823,0,257
